 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  62  -122.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  63  -124.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  64  -126.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  65  -128.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  66  -130.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  67  -132.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  68  -134.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  69  -136.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  70  -138.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  71  -140.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  72  -142.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  73  -144.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  74  -146.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  75  -148.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  76  -150.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  77  -152.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  78  -154.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  79  -156.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  80  -158.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  81  -160.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  82  -162.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  83  -164.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  84  -166.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  85  -168.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  86  -170.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  87  -172.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  88  -174.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  89  -176.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  90  -178.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  91  -180.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  92  -182.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  93  -184.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  94  -186.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  95  -188.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  96  -190.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  97  -192.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  98  -194.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  99  -196.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
 100  -198.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
 101  -200.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
end


 Time:        0.2500


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1356.270 0.0707   0.8841E-07  0.3828E-05 -0.1168E-07  0.0000E+00      -1  -0.110E-09   20.00
   2    -2.0000   -1864.534 0.0693   0.2286E-07  0.2085E-05 -0.7039E-05  0.7724E-04      -1  -0.663E-07   20.00
   3    -4.0000   -1852.465 0.0693   0.2367E-07  0.2115E-05  0.2191E-06  0.6606E-04      -1   0.207E-08   20.00
   4    -6.0000   -1824.366 0.0694   0.2555E-07  0.2185E-05 -0.2339E-06  0.5705E-04      -1  -0.220E-08   20.00
   5    -8.0000   -1889.912 0.0692   0.2117E-07  0.2022E-05 -0.6468E-06  0.1393E-03      -1  -0.610E-08   20.00
   6   -10.0000   -1939.660 0.0691   0.1785E-07  0.1898E-05 -0.1809E-06  0.4683E-03      -1  -0.170E-08   20.00
   7   -12.0000   -1922.144 0.0692   0.1902E-07  0.1942E-05  0.9090E-07  0.3472E-03      -1   0.857E-09   20.00
   8   -14.0000   -1916.105 0.0692   0.1942E-07  0.1957E-05  0.6825E-08  0.3169E-03      -1   0.643E-10   20.00
   9   -16.0000   -1916.699 0.0692   0.1938E-07  0.1955E-05 -0.1704E-06  0.3370E-03      -1  -0.161E-08   20.00
  10   -18.0000   -1949.211 0.0691   0.1721E-07  0.1874E-05  0.4644E-07  0.6123E-03      -1   0.438E-09   20.00
  11   -20.0000   -1903.589 0.0692   0.2026E-07  0.1988E-05  0.4199E-06  0.2760E-03      -1   0.396E-08   20.00
  12   -22.0000   -1861.761 0.0693   0.2305E-07  0.2092E-05  0.4015E-06  0.1263E-03      -1   0.378E-08   20.00
  13   -24.0000   -1828.970 0.0694   0.2524E-07  0.2174E-05  0.1790E-05  0.1096E-03      -1   0.169E-07   20.00
  14   -26.0000   -1626.479 0.0698   0.3877E-07  0.2678E-05  0.2943E-05  0.6328E-04      -1   0.277E-07   20.00
  15   -28.0000   -1509.052 0.0702   0.5400E-07  0.3083E-05  0.3410E-05  0.3164E-04      -1   0.321E-07   20.00
  16   -30.0000   -1385.098 0.0706   0.8191E-07  0.3688E-05  0.1941E-05  0.7494E-05      -1   0.183E-07   20.00
  17   -32.0000   -1389.515 0.0706   0.8092E-07  0.3666E-05  0.5415E-06  0.7782E-05      -1   0.510E-08   20.00
  18   -34.0000   -1355.781 0.0707   0.8852E-07  0.3831E-05  0.1012E-05  0.3855E-05      -1   0.954E-08   20.00
  19   -36.0000   -1338.742 0.0708   0.9235E-07  0.3914E-05  0.4643E-06  0.1671E-05      -1   0.438E-08   20.00
  20   -38.0000   -1331.405 0.0708   0.9400E-07  0.3950E-05  0.1349E-06  0.7442E-06      -1   0.127E-08   20.00
  21   -40.0000   -1328.958 0.0708   0.9456E-07  0.3962E-05 -0.3048E-07  0.7832E-07      -1  -0.287E-09   20.00
  22   -42.0000   -1328.693 0.0708   0.9462E-07  0.3963E-05 -0.8829E-07  0.1097E-07      -1  -0.832E-09   20.00
  23   -44.0000   -1328.691 0.0708   0.9462E-07  0.3963E-05 -0.9455E-07  0.2117E-08      -1  -0.891E-09   20.00
  24   -46.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9460E-07  0.2407E-08      -1  -0.892E-09   20.00
  25   -48.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.2367E-08      -1  -0.892E-09   20.00
  26   -50.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.2603E-08      -1  -0.892E-09   20.00
  27   -52.0000   -1328.691 0.0708   0.9462E-07  0.3963E-05 -0.9463E-07  0.1582E-08      -1  -0.892E-09   20.00
  28   -54.0000   -1328.691 0.0708   0.9462E-07  0.3963E-05 -0.9460E-07  0.0000E+00      -1  -0.892E-09   20.00
